Date,kWh
2025-09-06 22:32:24.292963,131.05
2025-09-07 22:32:24.292963,136.1
2025-09-08 22:32:24.292963,186.26
2025-09-09 22:32:24.292963,186.59
2025-09-10 22:32:24.292963,187.0
2025-09-11 22:32:24.292963,213.86
2025-09-12 22:32:24.292963,190.06
2025-09-13 22:32:24.292963,132.92
2025-09-14 22:32:24.292963,111.64
2025-09-15 22:32:24.292963,171.75
2025-09-16 22:32:24.292963,209.94
2025-09-17 22:32:24.292963,217.22
2025-09-18 22:32:24.292963,231.71
2025-09-19 22:32:24.292963,225.84
2025-09-20 22:32:24.292963,104.34
2025-09-21 22:32:24.292963,107.64
2025-09-22 22:32:24.292963,195.43
2025-09-23 22:32:24.292963,215.34
2025-09-24 22:32:24.292963,177.77
2025-09-25 22:32:24.292963,193.76
2025-09-26 22:32:24.292963,172.65
2025-09-27 22:32:24.292963,106.09
2025-09-28 22:32:24.292963,136.24
2025-09-29 22:32:24.292963,238.29
2025-09-30 22:32:24.292963,223.86
2025-10-01 22:32:24.292963,226.29
2025-10-02 22:32:24.292963,206.88
2025-10-03 22:32:24.292963,171.32
2025-10-04 22:32:24.292963,102.0
2025-10-05 22:32:24.292963,134.2
2025-10-06 22:32:24.292963,223.13
2025-10-07 22:32:24.292963,214.73
2025-10-08 22:32:24.292963,218.66
2025-10-09 22:32:24.292963,232.81
2025-10-10 22:32:24.292963,234.02
2025-10-11 22:32:24.292963,102.47
2025-10-12 22:32:24.292963,113.75
2025-10-13 22:32:24.292963,191.13
2025-10-14 22:32:24.292963,173.72
2025-10-15 22:32:24.292963,194.71
2025-10-16 22:32:24.292963,188.34
2025-10-17 22:32:24.292963,210.26
2025-10-18 22:32:24.292963,124.25
2025-10-19 22:32:24.292963,132.38
2025-10-20 22:32:24.292963,208.25
2025-10-21 22:32:24.292963,234.86
2025-10-22 22:32:24.292963,211.97
2025-10-23 22:32:24.292963,179.41
2025-10-24 22:32:24.292963,177.18
2025-10-25 22:32:24.292963,113.83
2025-10-26 22:32:24.292963,115.23
2025-10-27 22:32:24.292963,179.89
2025-10-28 22:32:24.292963,217.26
2025-10-29 22:32:24.292963,172.24
2025-10-30 22:32:24.292963,169.18
2025-10-31 22:32:24.292963,219.54
2025-11-01 22:32:24.292963,111.94
2025-11-02 22:32:24.292963,140.0
2025-11-03 22:32:24.292963,178.88
2025-11-04 22:32:24.292963,223.04
2025-11-05 22:32:24.292963,188.93
2025-11-06 22:32:24.292963,164.7
2025-11-07 22:32:24.292963,170.74
2025-11-08 22:32:24.292963,112.49
2025-11-09 22:32:24.292963,112.59
2025-11-10 22:32:24.292963,165.6
2025-11-11 22:32:24.292963,175.82
2025-11-12 22:32:24.292963,173.0
2025-11-13 22:32:24.292963,177.75
2025-11-14 22:32:24.292963,230.49
2025-11-15 22:32:24.292963,111.02
2025-11-16 22:32:24.292963,136.81
2025-11-17 22:32:24.292963,169.2
2025-11-18 22:32:24.292963,175.91
2025-11-19 22:32:24.292963,209.87
2025-11-20 22:32:24.292963,216.73
2025-11-21 22:32:24.292963,234.38
2025-11-22 22:32:24.292963,112.98
2025-11-23 22:32:24.292963,132.18
2025-11-24 22:32:24.292963,223.3
2025-11-25 22:32:24.292963,226.56
2025-11-26 22:32:24.292963,205.43
2025-11-27 22:32:24.292963,183.25
2025-11-28 22:32:24.292963,195.77
2025-11-29 22:32:24.292963,123.25
2025-11-30 22:32:24.292963,109.44
2025-12-01 22:32:24.292963,163.89
2025-12-02 22:32:24.292963,191.57
2025-12-03 22:32:24.292963,186.96
2025-12-04 22:32:24.292963,204.02
