Date,kWh
2025-09-06 22:32:24.279356,88.22
2025-09-07 22:32:24.279356,93.26
2025-09-08 22:32:24.279356,164.82
2025-09-09 22:32:24.279356,162.36
2025-09-10 22:32:24.279356,176.17
2025-09-11 22:32:24.279356,176.78
2025-09-12 22:32:24.279356,125.73
2025-09-13 22:32:24.279356,81.59
2025-09-14 22:32:24.279356,75.73
2025-09-15 22:32:24.279356,169.7
2025-09-16 22:32:24.279356,160.12
2025-09-17 22:32:24.279356,138.81
2025-09-18 22:32:24.279356,170.39
2025-09-19 22:32:24.279356,157.07
2025-09-20 22:32:24.279356,91.45
2025-09-21 22:32:24.279356,75.03
2025-09-22 22:32:24.279356,177.18
2025-09-23 22:32:24.279356,148.54
2025-09-24 22:32:24.279356,163.13
2025-09-25 22:32:24.279356,165.9
2025-09-26 22:32:24.279356,177.24
2025-09-27 22:32:24.279356,76.45
2025-09-28 22:32:24.279356,76.92
2025-09-29 22:32:24.279356,160.95
2025-09-30 22:32:24.279356,153.87
2025-10-01 22:32:24.279356,134.75
2025-10-02 22:32:24.279356,178.25
2025-10-03 22:32:24.279356,158.37
2025-10-04 22:32:24.279356,92.91
2025-10-05 22:32:24.279356,78.46
2025-10-06 22:32:24.279356,168.35
2025-10-07 22:32:24.279356,120.97
2025-10-08 22:32:24.279356,161.11
2025-10-09 22:32:24.279356,159.91
2025-10-10 22:32:24.279356,160.85
2025-10-11 22:32:24.279356,102.89
2025-10-12 22:32:24.279356,78.71
2025-10-13 22:32:24.279356,132.24
2025-10-14 22:32:24.279356,150.22
2025-10-15 22:32:24.279356,135.64
2025-10-16 22:32:24.279356,161.73
2025-10-17 22:32:24.279356,150.92
2025-10-18 22:32:24.279356,99.55
2025-10-19 22:32:24.279356,98.0
2025-10-20 22:32:24.279356,136.88
2025-10-21 22:32:24.279356,164.52
2025-10-22 22:32:24.279356,179.64
2025-10-23 22:32:24.279356,154.15
2025-10-24 22:32:24.279356,163.24
2025-10-25 22:32:24.279356,92.92
2025-10-26 22:32:24.279356,99.97
2025-10-27 22:32:24.279356,138.49
2025-10-28 22:32:24.279356,155.86
2025-10-29 22:32:24.279356,141.71
2025-10-30 22:32:24.279356,146.34
2025-10-31 22:32:24.279356,145.0
2025-11-01 22:32:24.279356,84.84
2025-11-02 22:32:24.279356,90.73
2025-11-03 22:32:24.279356,137.57
2025-11-04 22:32:24.279356,129.65
2025-11-05 22:32:24.279356,160.78
2025-11-06 22:32:24.279356,169.26
2025-11-07 22:32:24.279356,128.2
2025-11-08 22:32:24.279356,78.88
2025-11-09 22:32:24.279356,90.37
2025-11-10 22:32:24.279356,131.86
2025-11-11 22:32:24.279356,127.54
2025-11-12 22:32:24.279356,132.1
2025-11-13 22:32:24.279356,156.81
2025-11-14 22:32:24.279356,150.16
2025-11-15 22:32:24.279356,84.76
2025-11-16 22:32:24.279356,103.2
2025-11-17 22:32:24.279356,159.14
2025-11-18 22:32:24.279356,147.76
2025-11-19 22:32:24.279356,170.61
2025-11-20 22:32:24.279356,146.24
2025-11-21 22:32:24.279356,169.3
2025-11-22 22:32:24.279356,98.68
2025-11-23 22:32:24.279356,75.02
2025-11-24 22:32:24.279356,161.18
2025-11-25 22:32:24.279356,143.2
2025-11-26 22:32:24.279356,155.91
2025-11-27 22:32:24.279356,160.64
2025-11-28 22:32:24.279356,170.79
2025-11-29 22:32:24.279356,82.56
2025-11-30 22:32:24.279356,77.83
2025-12-01 22:32:24.279356,137.59
2025-12-02 22:32:24.279356,174.65
2025-12-03 22:32:24.279356,138.32
2025-12-04 22:32:24.279356,125.39
