Date,kWh
2025-09-06 22:32:24.288601,175.28
2025-09-07 22:32:24.288601,202.07
2025-09-08 22:32:24.288601,290.47
2025-09-09 22:32:24.288601,257.38
2025-09-10 22:32:24.288601,342.03
2025-09-11 22:32:24.288601,268.34
2025-09-12 22:32:24.288601,256.66
2025-09-13 22:32:24.288601,204.92
2025-09-14 22:32:24.288601,179.55
2025-09-15 22:32:24.288601,254.71
2025-09-16 22:32:24.288601,321.61
2025-09-17 22:32:24.288601,327.61
2025-09-18 22:32:24.288601,297.97
2025-09-19 22:32:24.288601,275.07
2025-09-20 22:32:24.288601,169.24
2025-09-21 22:32:24.288601,196.29
2025-09-22 22:32:24.288601,310.96
2025-09-23 22:32:24.288601,326.46
2025-09-24 22:32:24.288601,316.01
2025-09-25 22:32:24.288601,318.11
2025-09-26 22:32:24.288601,301.64
2025-09-27 22:32:24.288601,171.71
2025-09-28 22:32:24.288601,160.04
2025-09-29 22:32:24.288601,304.23
2025-09-30 22:32:24.288601,280.62
2025-10-01 22:32:24.288601,302.94
2025-10-02 22:32:24.288601,331.84
2025-10-03 22:32:24.288601,298.48
2025-10-04 22:32:24.288601,193.09
2025-10-05 22:32:24.288601,181.55
2025-10-06 22:32:24.288601,273.87
2025-10-07 22:32:24.288601,330.16
2025-10-08 22:32:24.288601,301.46
2025-10-09 22:32:24.288601,332.54
2025-10-10 22:32:24.288601,252.59
2025-10-11 22:32:24.288601,196.94
2025-10-12 22:32:24.288601,186.45
2025-10-13 22:32:24.288601,321.21
2025-10-14 22:32:24.288601,323.01
2025-10-15 22:32:24.288601,295.65
2025-10-16 22:32:24.288601,262.68
2025-10-17 22:32:24.288601,311.01
2025-10-18 22:32:24.288601,191.12
2025-10-19 22:32:24.288601,204.98
2025-10-20 22:32:24.288601,298.08
2025-10-21 22:32:24.288601,278.04
2025-10-22 22:32:24.288601,272.52
2025-10-23 22:32:24.288601,295.28
2025-10-24 22:32:24.288601,321.24
2025-10-25 22:32:24.288601,179.99
2025-10-26 22:32:24.288601,155.72
2025-10-27 22:32:24.288601,308.98
2025-10-28 22:32:24.288601,303.1
2025-10-29 22:32:24.288601,256.25
2025-10-30 22:32:24.288601,333.94
2025-10-31 22:32:24.288601,315.12
2025-11-01 22:32:24.288601,174.42
2025-11-02 22:32:24.288601,156.83
2025-11-03 22:32:24.288601,296.75
2025-11-04 22:32:24.288601,295.2
2025-11-05 22:32:24.288601,287.15
2025-11-06 22:32:24.288601,292.08
2025-11-07 22:32:24.288601,265.37
2025-11-08 22:32:24.288601,162.56
2025-11-09 22:32:24.288601,185.8
2025-11-10 22:32:24.288601,257.45
2025-11-11 22:32:24.288601,306.87
2025-11-12 22:32:24.288601,324.59
2025-11-13 22:32:24.288601,343.98
2025-11-14 22:32:24.288601,316.18
2025-11-15 22:32:24.288601,176.66
2025-11-16 22:32:24.288601,203.15
2025-11-17 22:32:24.288601,342.98
2025-11-18 22:32:24.288601,251.85
2025-11-19 22:32:24.288601,299.11
2025-11-20 22:32:24.288601,305.82
2025-11-21 22:32:24.288601,277.96
2025-11-22 22:32:24.288601,159.55
2025-11-23 22:32:24.288601,176.86
2025-11-24 22:32:24.288601,339.8
2025-11-25 22:32:24.288601,308.13
2025-11-26 22:32:24.288601,347.12
2025-11-27 22:32:24.288601,285.57
2025-11-28 22:32:24.288601,330.31
2025-11-29 22:32:24.288601,177.46
2025-11-30 22:32:24.288601,188.48
2025-12-01 22:32:24.288601,253.24
2025-12-02 22:32:24.288601,276.33
2025-12-03 22:32:24.288601,309.31
2025-12-04 22:32:24.288601,250.61
