Date,kWh
2025-09-06 22:32:24.294911,116.37
2025-09-07 22:32:24.294911,104.32
2025-09-08 22:32:24.294911,181.19
2025-09-09 22:32:24.294911,193.65
2025-09-10 22:32:24.294911,178.59
2025-09-11 22:32:24.294911,196.16
2025-09-12 22:32:24.294911,187.37
2025-09-13 22:32:24.294911,103.48
2025-09-14 22:32:24.294911,96.35
2025-09-15 22:32:24.294911,200.95
2025-09-16 22:32:24.294911,177.53
2025-09-17 22:32:24.294911,210.2
2025-09-18 22:32:24.294911,179.92
2025-09-19 22:32:24.294911,171.38
2025-09-20 22:32:24.294911,95.18
2025-09-21 22:32:24.294911,102.07
2025-09-22 22:32:24.294911,145.58
2025-09-23 22:32:24.294911,164.89
2025-09-24 22:32:24.294911,203.66
2025-09-25 22:32:24.294911,183.84
2025-09-26 22:32:24.294911,160.21
2025-09-27 22:32:24.294911,94.73
2025-09-28 22:32:24.294911,113.3
2025-09-29 22:32:24.294911,180.74
2025-09-30 22:32:24.294911,172.45
2025-10-01 22:32:24.294911,205.33
2025-10-02 22:32:24.294911,203.68
2025-10-03 22:32:24.294911,208.4
2025-10-04 22:32:24.294911,122.27
2025-10-05 22:32:24.294911,106.93
2025-10-06 22:32:24.294911,214.02
2025-10-07 22:32:24.294911,188.28
2025-10-08 22:32:24.294911,190.93
2025-10-09 22:32:24.294911,198.5
2025-10-10 22:32:24.294911,205.23
2025-10-11 22:32:24.294911,108.39
2025-10-12 22:32:24.294911,98.86
2025-10-13 22:32:24.294911,157.13
2025-10-14 22:32:24.294911,158.83
2025-10-15 22:32:24.294911,169.22
2025-10-16 22:32:24.294911,189.28
2025-10-17 22:32:24.294911,187.96
2025-10-18 22:32:24.294911,98.06
2025-10-19 22:32:24.294911,111.82
2025-10-20 22:32:24.294911,178.35
2025-10-21 22:32:24.294911,163.21
2025-10-22 22:32:24.294911,206.82
2025-10-23 22:32:24.294911,150.4
2025-10-24 22:32:24.294911,161.3
2025-10-25 22:32:24.294911,116.91
2025-10-26 22:32:24.294911,121.04
2025-10-27 22:32:24.294911,183.54
2025-10-28 22:32:24.294911,147.62
2025-10-29 22:32:24.294911,162.53
2025-10-30 22:32:24.294911,169.91
2025-10-31 22:32:24.294911,159.68
2025-11-01 22:32:24.294911,92.31
2025-11-02 22:32:24.294911,123.89
2025-11-03 22:32:24.294911,212.67
2025-11-04 22:32:24.294911,211.01
2025-11-05 22:32:24.294911,184.19
2025-11-06 22:32:24.294911,195.0
2025-11-07 22:32:24.294911,166.6
2025-11-08 22:32:24.294911,110.52
2025-11-09 22:32:24.294911,112.55
2025-11-10 22:32:24.294911,154.21
2025-11-11 22:32:24.294911,175.14
2025-11-12 22:32:24.294911,160.68
2025-11-13 22:32:24.294911,202.51
2025-11-14 22:32:24.294911,196.18
2025-11-15 22:32:24.294911,119.97
2025-11-16 22:32:24.294911,95.27
2025-11-17 22:32:24.294911,147.59
2025-11-18 22:32:24.294911,185.37
2025-11-19 22:32:24.294911,210.15
2025-11-20 22:32:24.294911,168.07
2025-11-21 22:32:24.294911,148.92
2025-11-22 22:32:24.294911,111.4
2025-11-23 22:32:24.294911,119.34
2025-11-24 22:32:24.294911,176.03
2025-11-25 22:32:24.294911,206.15
2025-11-26 22:32:24.294911,206.75
2025-11-27 22:32:24.294911,169.75
2025-11-28 22:32:24.294911,160.18
2025-11-29 22:32:24.294911,124.13
2025-11-30 22:32:24.294911,102.02
2025-12-01 22:32:24.294911,173.98
2025-12-02 22:32:24.294911,181.21
2025-12-03 22:32:24.294911,200.34
2025-12-04 22:32:24.294911,167.7
